KEGG ID,ms1,formula1,ms2,formula2,trans,pmd
R03663,119.0582,C4H9NO3,347.0631,C10H14N5O7P,C6H5N4O4P1,228.0049
R03664,506.9957,C10H16N5O13P3,347.0631,C10H14N5O7P,H-2O-6P-2,-159.9326
R03664,204.0899,C11H12N2O2,347.0631,C10H14N5O7P,C-1H2N3O5P1,142.9732
R03665,506.9957,C10H16N5O13P3,347.0631,C10H14N5O7P,H-2O-6P-2,-159.9326
R03665,117.079,C5H11NO2,347.0631,C10H14N5O7P,C5H3N4O5P1,229.9841
R03667,744.0833,C21H29N7O17P3,282.0964,C11H14N4O5,C-10H-15N-3O-12P-3,-461.9869
R03667,284.1121,C11H16N4O5,282.0964,C11H14N4O5,H-2,-2.0157
R03668,809.1258,C23H38N7O17P3S,767.1152,C21H36N7O16P3S,C-2H-2O-1,-42.0106
R03671,180.0634,C6H12O6,162.0528,C6H10O5,H-2O-1,-18.0106
R03672,197.0688,C9H11NO4,195.0532,C9H9NO4,H-2,-2.0156
R03672,197.0688,C9H11NO4,195.0532,C9H9NO4,H-2,-2.0156
R03672,193.0375,C9H7NO4,195.0532,C9H9NO4,H2,2.0157
R03672,193.0375,C9H7NO4,195.0532,C9H9NO4,H2,2.0157
R03673,193.0375,C9H7NO4,193.0375,C9H7NO4,,0
R03674,193.0375,C9H7NO4,149.0477,C8H7NO2,C-1O-2,-43.9898
R03675,414.3498,C28H46O2,396.3392,C28H44O,H-2O-1,-18.0106
R03677,396.3392,C28H44O,396.3392,C28H44O,,0
R03678,584.2635,C33H36N4O6,582.2478,C33H34N4O6,H-2,-2.0157
R03679,566.055,C15H24N2O17P2,404.0022,C9H14N2O12P2,C-6H-10O-5,-162.0528
R03680,566.055,C15H24N2O17P2,508.1945,C25H32O11,C10H8N-2O-6P-2,-57.8605
R03680,346.1416,C19H22O6,404.0022,C9H14N2O12P2,C-10H-8N2O6P2,57.8606
R03681,566.055,C15H24N2O17P2,404.0022,C9H14N2O12P2,C-6H-10O-5,-162.0528
R03685,324.1056,C12H20O10,342.1162,C12H22O11,H2O1,18.0106
R03686,566.055,C15H24N2O17P2,594.1585,C27H30O15,C12H6N-2O-2P-2,28.1035
R03686,432.1056,C21H20O10,404.0022,C9H14N2O12P2,C-12H-6N2O2P2,-28.1034
R03687,173.0477,C10H7NO2,189.0426,C10H7NO3,O1,15.9949
R03688,180.0634,C6H12O6,162.0528,C6H10O5,H-2O-1,-18.0106
R03689,745.0911,C21H30N7O17P3,428.4018,C30H52O,C9H22N-7O-16P-3,-316.6893
R03689,426.3862,C30H50O,428.4018,C30H52O,H2,2.0156
R03691,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R03691,270.0729,C6H15N4O6P,350.0393,C6H16N4O9P2,H1O3P1,79.9664
R03692,148.0524,C9H8O2,166.063,C9H10O3,H2O1,18.0106
R03693,148.0372,C5H8O5,130.0266,C5H6O4,H-2O-1,-18.0106
R03694,130.0266,C5H6O4,148.0372,C5H8O5,H2O1,18.0106
R03695,767.1152,C21H36N7O16P3S,879.1313,C26H40N7O19P3S,C5H4O3,112.0161
R03695,130.0266,C5H6O4,879.1313,C26H40N7O19P3S,C21H34N7O15P3S1,749.1047
R03696,147.0532,C5H9NO4,130.0266,C5H6O4,H-3N-1,-17.0266
R03697,285.1365,C17H19NO3,299.1521,C18H21NO3,C1H2,14.0156
R03698,146.0215,C5H6O5,118.0266,C4H6O4,C-1O-1,-27.9949
R03698,297.1365,C18H19NO3,283.1208,C17H17NO3,C-1H-2,-14.0157
R03699,252.0859,C10H12N4O4,332.0522,C10H13N4O7P,H1O3P1,79.9663
R03700,506.9862,C10H15N5O13P2S,541.2921,C24H47NO10S,C14H32N-4O-3P-2,34.3059
R03700,461.3353,C24H47NO7,427.0294,C10H15N5O10P2,C-14H-32N4O3P2,-34.3059
R03701,398.1372,C15H22N6O5S,384.1216,C14H20N6O5S,C-1H-2,-14.0156
R03701,152.0157,C5H4N4S,166.0313,C6H6N4S,C1H2,14.0156
R03702,126.0317,C6H6O3,144.0423,C6H8O4,H2O1,18.0106
R03703,512.2159,C27H32N2O8,350.163,C21H22N2O3,C-6H-10O-5,-162.0529
R03704,457.171,C20H23N7O6,445.171,C19H23N7O6,C-1,-12
R03704,787.1728,C27H35N9O15P2,785.1571,C27H33N9O15P2,H-2,-2.0157
R03709,664.1169,C21H28N7O14P2,164.0473,C9H8O3,C-12H-20N-7O-11P-2,-500.0696
R03709,166.063,C9H10O3,164.0473,C9H8O3,H-2,-2.0157
R03710,566.055,C15H24N2O17P2,404.0022,C9H14N2O12P2,C-6H-10O-5,-162.0528
R03710,164.0473,C9H8O3,326.1002,C15H18O8,C6H10O5,162.0529
R03712,745.0911,C21H30N7O17P3,281.0834,C12H15N3O3S,C-9H-15N-4O-14P-3S1,-464.0077
R03712,265.0885,C12H15N3O2S,281.0834,C12H15N3O3S,O1,15.9949
R03713,744.0833,C21H29N7O17P3,360.1937,C21H28O5,H-1N-7O-12P-3,-383.8896
R03713,362.2093,C21H30O5,360.1937,C21H28O5,H-2,-2.0156
R03714,362.2093,C21H30O5,360.1937,C21H28O5,H-2,-2.0156
R03716,744.0833,C21H29N7O17P3,485.6834,C10Cl10O,C-11Cl10H-29N-7O-16P-3,-258.3999
R03716,487.6991,C10H2Cl10O,485.6834,C10Cl10O,H-2,-2.0157
R03719,823.1414,C24H40N7O17P3S,767.1152,C21H36N7O16P3S,C-3H-4O-1,-56.0262
R03720,125.0147,C2H7NO3S,515.2917,C26H45NO7S,C24H38O4,390.277
R03721,398.1372,C15H22N6O5S,384.1216,C14H20N6O5S,C-1H-2,-14.0156
R03721,338.1392,C20H20NO4,352.1549,C21H22NO4,C1H2,14.0157
R03722,341.1627,C20H23NO4,338.1392,C20H20NO4,H-3,-3.0235
R03723,428.3654,C29H48O2,384.3392,C27H44O,C-2H-4O-1,-44.0262
R03724,384.3392,C27H44O,382.3236,C27H42O,H-2,-2.0156
R03725,398.1372,C15H22N6O5S,398.3549,C28H46O,C13H24N-6O-4S-1,0.2177
R03725,384.3392,C27H44O,384.1216,C14H20N6O5S,C-13H-24N6O4S1,-0.2176
R03726,398.1372,C15H22N6O5S,304.1648,C14H20N6O2,C-1H-2O-3S-1,-93.9724
R03726,203.1171,C10H13N5,297.0896,C11H15N5O3S,C1H2O3S1,93.9725
R03727,943.1626,C31H44N7O19P3S,767.1152,C21H36N7O16P3S,C-10H-8O-3,-176.0474
R03727,210.0376,C6H10O8,386.0849,C16H18O11,C10H8O3,176.0473
R03728,745.0911,C21H30N7O17P3,240.2817,C17H36,C-4H6N-7O-17P-3,-504.8094
R03728,268.2766,C18H36O,240.2817,C17H36,C-1O-1,-27.9949
R03731,398.1372,C15H22N6O5S,384.1216,C14H20N6O5S,C-1H-2,-14.0156
R03731,448.1006,C21H20O11,462.1162,C22H22O11,C1H2,14.0156
R03732,664.1169,C21H28N7O14P2,117.079,C5H11NO2,C-16H-17N-6O-12P-2,-547.0379
R03732,189.1001,C8H15NO4,117.079,C5H11NO2,C-3H-4O-2,-72.0211
R03733,664.1169,C21H28N7O14P2,134.0215,C4H6O5,C-17H-22N-7O-9P-2,-530.0954
R03733,136.0372,C4H8O5,134.0215,C4H6O5,H-2,-2.0157
R03734,776.6867,C15H11I4NO4,650.79,C15H12I3NO4,H1I-1,-125.8967
R03735,767.1152,C21H36N7O16P3S,949.2823,C33H58N7O17P3S,C12H22O1,182.1671
R03735,332.1835,C16H28O7,132.0059,C4H4O5,C-12H-24O-2,-200.1776
R03736,755.3153,C39H49NO14,753.2997,C39H47NO14,H-2,-2.0156
R03737,146.0215,C5H6O5,118.0266,C4H6O4,C-1O-1,-27.9949
R03737,305.1627,C17H23NO4,303.1471,C17H21NO4,H-2,-2.0156
R03738,530.2264,C27H34N2O9,388.1369,C17H24O10,C-10H-10N-2O1,-142.0895
R03739,208.0008,C9H4O6,182.0215,C8H6O5,C-1H2O-1,-25.9793
R03740,204.1878,C15H24,312.1209,C15H20O7,H-4O7,107.9331
R03742,564.1632,C30H28O11,546.1526,C30H26O10,H-2O-1,-18.0106
R03744,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R03745,664.1169,C21H28N7O14P2,150.1045,C10H14O,C-11H-14N-7O-13P-2,-514.0124
R03745,152.1201,C10H16O,150.1045,C10H14O,H-2,-2.0156
R03746,398.1372,C15H22N6O5S,384.1216,C14H20N6O5S,C-1H-2,-14.0156
R03746,219.9385,C6H5IO,233.9542,C7H7IO,C1H2,14.0157
R03747,214.1569,C12H22O3,170.1671,C11H22O,C-1O-2,-43.9898
R03748,274.2297,C19H30O,272.214,C19H28O,H-2,-2.0157
R03751,114.0681,C6H10O2,132.0786,C6H12O3,H2O1,18.0105
R03753,744.0833,C21H29N7O17P3,274.2297,C19H30O,C-2H1N-7O-16P-3,-469.8536
R03753,276.2453,C19H32O,274.2297,C19H30O,H-2,-2.0156
R03754,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R03760,809.1258,C23H38N7O17P3S,767.1152,C21H36N7O16P3S,C-2H-2O-1,-42.0106
R03761,665.1248,C21H29N7O14P2,151.9966,C4H8O2S2,C-17H-21N-7O-12P-2S2,-513.1282
R03761,149.9809,C4H6O2S2,151.9966,C4H8O2S2,H2,2.0157
R03762,767.1152,C21H36N7O16P3S,993.1928,C31H50N9O18P3S2,C10H14N2O2S1,226.0776
R03762,573.1407,C20H28N7O9PS,347.0631,C10H14N5O7P,C-10H-14N-2O-2S-1,-226.0776
R03763,664.1169,C21H28N7O14P2,558.3193,C32H46O8,C11H18N-7O-6P-2,-105.7976
R03763,560.3349,C32H48O8,558.3193,C32H46O8,H-2,-2.0156
R03764,744.0833,C21H29N7O17P3,558.3193,C32H46O8,C11H17N-7O-9P-3,-185.764
R03764,560.3349,C32H48O8,558.3193,C32H46O8,H-2,-2.0156
R03765,426.3862,C30H50O,384.3392,C27H44O,C-3H-6,-42.047
R03766,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R03766,180.0634,C6H12O6,260.0297,C6H13O9P,H1O3P1,79.9663
R03767,809.1258,C23H38N7O17P3S,767.1152,C21H36N7O16P3S,C-2H-2O-1,-42.0106
R03768,605.0772,C16H25N5O16P2,443.0243,C10H15N5O11P2,C-6H-10O-5,-162.0529
R03769,605.0772,C16H25N5O16P2,443.0243,C10H15N5O11P2,C-6H-10O-5,-162.0529
R03770,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R03770,527.2326,C20H37N3O13,607.199,C20H38N3O16P,H1O3P1,79.9664
R03772,162.0528,C6H10O5,180.0634,C6H12O6,H2O1,18.0106
R03774,180.0634,C6H12O6,162.0528,C6H10O5,H-2O-1,-18.0106
R03775,426.3862,C30H50O,426.3862,C30H50O,,0
R03776,744.0833,C21H29N7O17P3,891.204,C29H48N7O17P3S,C8H19S1,147.1207
R03776,893.2197,C29H50N7O17P3S,891.204,C29H48N7O17P3S,H-2,-2.0157
R03777,785.1571,C27H33N9O15P2,787.1728,C27H35N9O15P2,H2,2.0157
R03777,893.2197,C29H50N7O17P3S,891.204,C29H48N7O17P3S,H-2,-2.0157
R03778,809.1258,C23H38N7O17P3S,767.1152,C21H36N7O16P3S,C-2H-2O-1,-42.0106
R03778,893.2197,C29H50N7O17P3S,935.2302,C31H52N7O18P3S,C2H2O1,42.0105
R03779,161.1052,C7H15NO3,287.2097,C15H29NO4,C8H14O1,126.1045
R03779,893.2197,C29H50N7O17P3S,767.1152,C21H36N7O16P3S,C-8H-14O-1,-126.1045
R03780,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R03780,687.4194,C35H61NO12,767.3857,C35H62NO15P,H1O3P1,79.9663
R03782,150.1045,C10H14O,150.1045,C10H14O,,0
R03783,316.2402,C21H32O2,332.2351,C21H32O3,O1,15.9949
R03784,316.2402,C21H32O2,332.2351,C21H32O3,O1,15.9949
R03785,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R03785,167.0365,C3H9N3O3S,247.0028,C3H10N3O6PS,H1O3P1,79.9663
R03787,664.1169,C21H28N7O14P2,423.0703,C20H13N3O8,C-1H-15N-4O-6P-2,-241.0466
R03787,425.0859,C20H15N3O8,423.0703,C20H13N3O8,H-2,-2.0156
R03788,398.1372,C15H22N6O5S,384.1216,C14H20N6O5S,C-1H-2,-14.0156
R03789,277.1175,C12H15N5O3,151.0494,C5H5N5O,C-7H-10O-2,-126.0681
R03790,664.1169,C21H28N7O14P2,150.0317,C8H6O3,C-13H-22N-7O-11P-2,-514.0852
R03790,152.0473,C8H8O3,150.0317,C8H6O3,H-2,-2.0156
R03791,152.0473,C8H8O3,152.0473,C8H8O3,,0
R03792,664.1169,C21H28N7O14P2,150.0317,C8H6O3,C-13H-22N-7O-11P-2,-514.0852
R03792,152.0473,C8H8O3,150.0317,C8H6O3,H-2,-2.0156
R03793,152.0473,C8H8O3,150.0317,C8H6O3,H-2,-2.0156
R03794,152.0473,C8H8O3,154.0855,C6H10N4O,C-2H2N4O-2,2.0382
R03794,136.0749,C6H8N4,154.0855,C6H10N4O,H2O1,18.0106
R03797,566.055,C15H24N2O17P2,404.0022,C9H14N2O12P2,C-6H-10O-5,-162.0528
R03798,204.1878,C15H24,320.126,C17H20O6,C2H-4O6,115.9382
R03799,246.0058,C5H12O7P2,432.1937,C27H28O5,C22H16O-2P-2,186.1879
R03799,296.0685,C17H12O5,432.1937,C27H28O5,C10H16,136.1252
R03800,422.2026,C17H26N8O5,423.1866,C17H25N7O6,H-1N-1O1,0.984
R03801,666.2219,C24H42O21,504.169,C18H32O16,C-6H-10O-5,-162.0529
R03802,828.2747,C30H52O26,666.2219,C24H42O21,C-6H-10O-5,-162.0528
R03803,472.2097,C26H32O8,490.2203,C26H34O9,H2O1,18.0106
R03805,398.1372,C15H22N6O5S,384.1216,C14H20N6O5S,C-1H-2,-14.0156
R03806,146.0215,C5H6O5,118.0266,C4H6O4,C-1O-1,-27.9949
R03806,364.1886,C20H28O6,362.1729,C20H26O6,H-2,-2.0157
R03807,146.0215,C5H6O5,118.0266,C4H6O4,C-1O-1,-27.9949
R03807,362.1729,C20H26O6,332.1624,C19H24O5,C-1H-2O-1,-30.0105
R03809,146.0215,C5H6O5,118.0266,C4H6O4,C-1O-1,-27.9949
R03809,332.1624,C19H24O5,348.1573,C19H24O6,O1,15.9949
R03810,114.0429,C4H6N2O2,132.0535,C4H8N2O3,H2O1,18.0106
R03812,146.0215,C5H6O5,118.0266,C4H6O4,C-1O-1,-27.9949
R03812,289.1678,C17H23NO3,305.1627,C17H23NO4,O1,15.9949
R03816,665.1248,C21H29N7O14P2,452.3654,C31H48O2,C10H19N-7O-12P-2,-212.7594
R03816,450.3498,C31H46O2,452.3654,C31H48O2,H2,2.0156
R03818,152.1201,C10H16O,168.115,C10H16O2,O1,15.9949
R03819,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R03819,210.074,C7H14O7,290.0403,C7H15O10P,H1O3P1,79.9663
R03820,530.2264,C27H34N2O9,368.1736,C21H24N2O4,C-6H-10O-5,-162.0528
R03821,744.0833,C21H29N7O17P3,721.2887,C27H47N9O10S2,C6H18N2O-7P-3S2,-22.7946
R03821,723.3044,C27H49N9O10S2,721.2887,C27H47N9O10S2,H-2,-2.0157
R03822,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R03822,307.0838,C10H17N3O6S,427.0294,C10H15N5O10P2,H-2N2O4P2S-1,119.9456
R03822,434.2311,C17H34N6O5S,427.0294,C10H15N5O10P2,C-7H-19N-1O5P2S-1,-7.2017
R03823,536.4382,C40H56,536.4382,C40H56,,0
R03824,536.4382,C40H56,536.4382,C40H56,,0
R03826,664.1169,C21H28N7O14P2,578.055,C16H24N2O17P2,C-5H-4N-5O3,-86.0619
R03826,564.0758,C16H26N2O16P2,578.055,C16H24N2O17P2,H-2O1,13.9792
R03827,744.0833,C21H29N7O17P3,224.0837,C15H12O2,C-6H-17N-7O-15P-3,-519.9996
R03827,226.0994,C15H14O2,224.0837,C15H12O2,H-2,-2.0157
R03829,605.0772,C16H25N5O16P2,443.0243,C10H15N5O11P2,C-6H-10O-5,-162.0529
R03831,329.1627,C19H23NO4,327.1471,C19H21NO4,H-2,-2.0156
R03832,398.1372,C15H22N6O5S,384.1216,C14H20N6O5S,C-1H-2,-14.0156
R03832,315.1471,C18H21NO4,329.1627,C19H23NO4,C1H2,14.0156
R03834,327.1471,C19H21NO4,325.1314,C19H19NO4,H-2,-2.0157
R03835,398.1372,C15H22N6O5S,384.1216,C14H20N6O5S,C-1H-2,-14.0156
R03835,327.1471,C19H21NO4,341.1627,C20H23NO4,C1H2,14.0156
R03840,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R03842,354.1705,C21H24NO4,369.1576,C21H23NO5,H-1O1,14.9871
R03845,744.0833,C21H29N7O17P3,612.2223,C35H32MgN4O5,C14H3Mg1N-3O-12P-3,-131.861
R03845,614.238,C35H34MgN4O5,612.2223,C35H32MgN4O5,H-2,-2.0157
R03847,664.1169,C21H28N7O14P2,344.1988,C21H28O4,N-7O-10P-2,-319.9181
R03847,346.2144,C21H30O4,344.1988,C21H28O4,H-2,-2.0156
R03848,744.0833,C21H29N7O17P3,344.1988,C21H28O4,H-1N-7O-13P-3,-399.8845
R03848,346.2144,C21H30O4,344.1988,C21H28O4,H-2,-2.0156
R03849,330.2195,C21H30O3,346.2144,C21H30O4,O1,15.9949
R03850,744.0833,C21H29N7O17P3,346.2144,C21H30O4,H1N-7O-13P-3,-397.8689
R03850,348.2301,C21H32O4,346.2144,C21H30O4,H-2,-2.0157
R03851,330.2195,C21H30O3,346.2144,C21H30O4,O1,15.9949
R03856,744.0833,C21H29N7O17P3,947.2666,C33H56N7O17P3S,C12H27S1,203.1833
R03856,949.2823,C33H58N7O17P3S,947.2666,C33H56N7O17P3S,H-2,-2.0157
R03857,785.1571,C27H33N9O15P2,787.1728,C27H35N9O15P2,H2,2.0157
R03857,949.2823,C33H58N7O17P3S,947.2666,C33H56N7O17P3S,H-2,-2.0157
R03858,809.1258,C23H38N7O17P3S,767.1152,C21H36N7O16P3S,C-2H-2O-1,-42.0106
R03858,949.2823,C33H58N7O17P3S,991.2928,C35H60N7O18P3S,C2H2O1,42.0105
R03859,767.1152,C21H36N7O16P3S,949.2823,C33H58N7O17P3S,C12H22O1,182.1671
R03859,346.1992,C17H30O7,146.0215,C5H6O5,C-12H-24O-2,-200.1777
R03860,744.0833,C21H29N7O17P3,351.1709,C21H23N2O3,H-6N-5O-14P-3,-392.9124
R03860,352.1787,C21H24N2O3,745.0911,C21H30N7O17P3,H6N5O14P3,392.9124
R03861,178.0477,C6H10O6,767.1152,C21H36N7O16P3S,C15H26N7O10P3S1,589.0675
R03861,973.1731,C32H46N7O20P3S,767.1152,C21H36N7O16P3S,C-11H-10O-4,-206.0579
R03863,664.1169,C21H28N7O14P2,334.2144,C20H30O4,C-1H2N-7O-10P-2,-329.9025
R03863,336.2301,C20H32O4,334.2144,C20H30O4,H-2,-2.0157
R03864,744.0833,C21H29N7O17P3,334.2144,C20H30O4,C-1H1N-7O-13P-3,-409.8689
R03864,336.2301,C20H32O4,334.2144,C20H30O4,H-2,-2.0157
R03866,336.2301,C20H32O4,352.225,C20H32O5,O1,15.9949
R03867,625.3033,C30H47N3O9S,496.2607,C25H40N2O6S,C-5H-7N-1O-3,-129.0426
R03868,186.0164,C7H6O6,186.0164,C7H6O6,,0
R03869,664.1169,C21H28N7O14P2,118.0266,C4H6O4,C-17H-22N-7O-10P-2,-546.0903
R03869,102.0317,C4H6O3,118.0266,C4H6O4,O1,15.9949
R03870,142.0378,C5H6N2O3,118.0266,C4H6O4,C-1N-2O1,-24.0112
R03871,118.0266,C4H6O4,102.0317,C4H6O3,O-1,-15.9949
R03872,118.0266,C4H6O4,102.0317,C4H6O3,O-1,-15.9949
R03873,189.0426,C10H7NO3,175.0633,C10H9NO2,H2O-1,-13.9793
R03875,398.1372,C15H22N6O5S,384.1216,C14H20N6O5S,C-1H-2,-14.0156
R03876,506.9957,C10H16N5O13P3,347.0631,C10H14N5O7P,H-2O-6P-2,-159.9326
R03877,506.9957,C10H16N5O13P3,584.2274,C34H32MgN4O4,C24H16Mg1N-1O-9P-3,77.2317
R03877,562.258,C34H34N4O4,584.2274,C34H32MgN4O4,H-2Mg1,21.9694
R03878,352.225,C20H32O5,370.2355,C20H34O6,H2O1,18.0105
R03879,744.0833,C21H29N7O17P3,548.0445,C15H22N2O16P2,C-6H-7N-5O-1P-1,-196.0388
R03879,550.0601,C15H24N2O16P2,548.0445,C15H22N2O16P2,H-2,-2.0156
R03880,550.0601,C15H24N2O16P2,546.1737,C27H30O12,C12H6N-2O-4P-2,-3.8864
R03880,400.1158,C21H20O8,404.0022,C9H14N2O12P2,C-12H-6N2O4P2,3.8864
R03881,565.071,C15H25N3O16P2,565.071,C15H25N3O16P2,,0
R03882,664.1169,C21H28N7O14P2,246.1256,C15H18O3,C-6H-10N-7O-11P-2,-417.9913
R03882,248.1412,C15H20O3,246.1256,C15H18O3,H-2,-2.0156
R03883,744.0833,C21H29N7O17P3,246.1256,C15H18O3,C-6H-11N-7O-14P-3,-497.9577
R03883,248.1412,C15H20O3,246.1256,C15H18O3,H-2,-2.0156
R03884,809.1258,C23H38N7O17P3S,879.1313,C26H40N7O19P3S,C3H2O2,70.0055
R03884,130.0266,C5H6O4,879.1313,C26H40N7O19P3S,C21H34N7O15P3S1,749.1047
R03885,281.1124,C11H15N5O4,150.0528,C5H10O5,C-6H-5N-5O1,-131.0596
R03886,664.1169,C21H28N7O14P2,186.1256,C10H18O3,C-11H-10N-7O-11P-2,-477.9913
R03886,188.1412,C10H20O3,186.1256,C10H18O3,H-2,-2.0156
R03887,157.0375,C6H7NO4,158.0215,C6H6O5,H-1N-1O1,0.984
R03889,664.1169,C21H28N7O14P2,157.0375,C6H7NO4,C-15H-21N-6O-10P-2,-507.0794
R03889,141.0426,C6H7NO3,157.0375,C6H7NO4,O1,15.9949
R03891,126.0317,C6H6O3,158.0215,C6H6O5,O2,31.9898
R03892,158.0215,C6H6O5,158.0215,C6H6O5,,0
R03893,140.011,C6H4O4,158.0215,C6H6O5,H2O1,18.0105
R03896,148.0372,C5H8O5,130.0266,C5H6O4,H-2O-1,-18.0106
R03897,130.0266,C5H6O4,148.0372,C5H8O5,H2O1,18.0106
R03898,130.0266,C5H6O4,148.0372,C5H8O5,H2O1,18.0106
R03899,244.2263,C12H28N4O,145.1579,C7H19N3,C-5H-9N-1O-1,-99.0684
R03900,744.0833,C21H29N7O17P3,117.0062,C3H3NO4,C-18H-26N-6O-13P-3,-627.0771
R03900,119.0219,C3H5NO4,117.0062,C3H3NO4,H-2,-2.0157
R03903,809.1258,C23H38N7O17P3S,767.1152,C21H36N7O16P3S,C-2H-2O-1,-42.0106
R03903,165.079,C9H11NO2,207.0895,C11H13NO3,C2H2O1,42.0105
R03904,491.0008,C10H16N5O12P3,373.9569,C5H13O13P3,C-5H-3N-5O1,-117.0439
R03905,427.0294,C10H15N5O10P2,506.9957,C10H16N5O13P3,H1O3P1,79.9663
R03905,147.0532,C5H9NO4,146.0691,C5H10N2O3,H1N1O-1,-0.9841
R03906,822.4038,C42H62O16,470.3396,C30H46O4,C-12H-16O-12,-352.0642
R03907,236.1776,C15H24O2,194.1671,C13H22O,C-2H-2O-1,-42.0105
R03908,144.0423,C6H8O4,144.0423,C6H8O4,,0
R03910,809.1258,C23H38N7O17P3S,767.1152,C21H36N7O16P3S,C-2H-2O-1,-42.0106
R03911,175.0633,C10H9NO2,133.0528,C8H7NO,C-2H-2O-1,-42.0105
R03915,612.152,C20H32N6O12S2,307.0838,C10H17N3O6S,C-10H-15N-3O-6S-1,-305.0682
R03918,744.0833,C21H29N7O17P3,208.0736,C11H12O4,C-10H-17N-7O-13P-3,-536.0097
R03918,210.0892,C11H14O4,208.0736,C11H12O4,H-2,-2.0156
R03920,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R03920,180.0634,C6H12O6,260.0297,C6H13O9P,H1O3P1,79.9663
R03921,422.0825,C12H23O14P,260.0297,C6H13O9P,C-6H-10O-5,-162.0528
R03922,398.1372,C15H22N6O5S,384.1216,C14H20N6O5S,C-1H-2,-14.0156
R03923,121.0197,C3H7NO2S,105.0426,C3H7NO3,O1S-1,-15.9771
R03924,605.0772,C16H25N5O16P2,363.058,C10H14N5O8P,C-6H-11O-8P-1,-242.0192
R03925,158.044,C4H6N4O3,158.044,C4H6N4O3,,0
R03927,219.1107,C9H17NO5,205.1314,C9H19NO4,H2O-1,-13.9793
R03928,536.0445,C14H22N2O16P2,404.0022,C9H14N2O12P2,C-5H-8O-4,-132.0423
R03929,305.0413,C9H12N3O7P,323.0519,C9H14N3O8P,H2O1,18.0106
R03930,744.0833,C21H29N7O17P3,145.0528,C9H7NO,C-12H-22N-6O-16P-3,-599.0305
R03930,147.0684,C9H9NO,145.0528,C9H7NO,H-2,-2.0156
R03932,506.9957,C10H16N5O13P3,347.0631,C10H14N5O7P,H-2O-6P-2,-159.9326
R03932,767.1152,C21H36N7O16P3S,905.1025,C28H39ClN7O17P3S,C7Cl1H3O1,137.9873
R03932,155.9978,C7H5ClO2,347.0631,C10H14N5O7P,C3Cl-1H9N5O5P1,191.0653
R03933,418.3447,C27H46O3,316.2402,C21H32O2,C-6H-14O-1,-102.1045
R03934,398.1372,C15H22N6O5S,384.1216,C14H20N6O5S,C-1H-2,-14.0156
R03934,194.0579,C10H10O4,208.0736,C11H12O4,C1H2,14.0157
R03935,245.1488,C9H19N5O3,174.1117,C6H14N4O2,C-3H-5N-1O-1,-71.0371
R03936,236.0797,C11H12N2O4,165.0426,C8H7NO3,C-3H-5N-1O-1,-71.0371
R03937,879.1313,C26H40N7O19P3S,897.1418,C26H42N7O20P3S,H2O1,18.0105
R03938,398.1372,C15H22N6O5S,384.1216,C14H20N6O5S,C-1H-2,-14.0156
R03939,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R03939,151.0415,C3H9N3O2S,231.0079,C3H10N3O5PS,H1O3P1,79.9664
R03940,473.1659,C20H23N7O7,445.171,C19H23N7O6,C-1O-1,-27.9949
R03942,664.1169,C21H28N7O14P2,162.0528,C6H10O5,C-15H-18N-7O-9P-2,-502.0641
R03942,164.0685,C6H12O5,162.0528,C6H10O5,H-2,-2.0157
R03943,398.1372,C15H22N6O5S,384.1216,C14H20N6O5S,C-1H-2,-14.0156
R03943,151.0997,C9H13NO,165.1154,C10H15NO,C1H2,14.0157
R03944,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R03945,664.1169,C21H28N7O14P2,150.1045,C10H14O,C-11H-14N-7O-13P-2,-514.0124
R03945,152.1201,C10H16O,150.1045,C10H14O,H-2,-2.0156
R03946,506.9862,C10H15N5O13P2S,427.0294,C10H15N5O10P2,O-3S-1,-79.9568
R03946,256.1827,C18H24O,336.1395,C18H24O4S,O3S1,79.9568
R03947,664.1169,C21H28N7O14P2,862.2909,C42H46N4O16,C21H18N-3O2P-2,198.174
R03947,864.3065,C42H48N4O16,862.2909,C42H46N4O16,H-2,-2.0156
R03948,398.1372,C15H22N6O5S,384.1216,C14H20N6O5S,C-1H-2,-14.0156
